ICA_IDEAM,OD ,pH,Rio
0.74,65.45,7.06,Cañaveralejo
0.73,63.89,7.25,Cañaveralejo
0.3,39.94,6.35,Cañaveralejo
0.79,70.01,7.63,Cañaveralejo
0.77,65.56,7.67,Cañaveralejo
0.77,65.39,7.37,Cañaveralejo
0.7,54.02,7.43,Cañaveralejo
0.53,62.89,7.37,Cañaveralejo
0.76,50.74,7.87,Cañaveralejo
0.62,45.08,7.79,Cañaveralejo
0.29,10,6.65,Cañaveralejo
0.59,51.58,7.71,Cañaveralejo
0.59,48.95,7.82,Cañaveralejo
0.31,10.77,6.73,Cañaveralejo
0.8,71.64,7.55,Cañaveralejo
0.66,44.33,7.43,Cañaveralejo
0.33,0,6.86,Cañaveralejo
0.28,1.76,6.6,Cañaveralejo
0.74,60.88,7.43,Cañaveralejo
0.66,54.78,7.84,Cañaveralejo
0.33,0,6.83,Cañaveralejo
0.3,1.74,6.75,Cañaveralejo
0.86,92.97,7.7,Melendez
0.77,56.72,7.62,Melendez
0.8,64.89,7.78,Melendez
0.41,0,7.23,Melendez
0.85,69.26,7.3,Melendez
0.64,54.81,7.29,Melendez
0.93,94.63,7.64,Melendez
0.89,78.73,7.49,Melendez
0.87,78.67,7.28,Melendez
0.87,80.6,7.52,Melendez
0.86,56.84,7.73,Melendez
0.84,45.73,7.2,Melendez
0.92,83.9,7.72,Melendez
0.92,87.43,7.72,Melendez
0.86,67.18,7.82,Melendez
0.88,73.75,7.61,Melendez
0.82,60.68,7.23,Melendez
0.76,67.43,7.36,Melendez
0.84,62.94,7.65,Melendez
0.86,80.32,7.36,Melendez
0.77,46.52,7.26,Melendez
0.49,29.69,7.2,Melendez
0.88,100.77,7.15,Cali
0.74,99.54,7.43,Cali
0.64,78.03,8.52,Cali
0.7,88.07,8.46,Cali
0.68,78.32,8.54,Cali
0.49,62.14,6.58,Cali
0.88,106.09,7.96,Cali
0.88,98.18,7.58,Cali
0.87,104.68,7.92,Cali
0.85,96.67,6.77,Cali
0.55,60.64,7.47,Cali
0.85,65.95,7.48,Cali
0.77,58.13,7.2,Cali
0.74,55.87,7.21,Cali
0.73,50.95,7.5,Cali
0.61,44.87,7.48,Cali
0.91,96.6,7.77,Cali
0.77,94.25,7.67,Cali
0.75,98.98,8.16,Cali
0.72,107.96,8,Cali
0.72,106.92,8.48,Cali
0.53,73.89,7.07,Cali